,Type,Contribution,SP500_Close,Shares_Bought,Cumulative_Shares,Cumulative_Invested,Cumulative_Value
2016-04-01,Fixed_DCA,475.0000,177.8123,2.6714,319.8504,40000.0000,56873.3436
2016-05-01,Fixed_DCA,475.0000,177.3053,2.6790,322.5294,40475.0000,57186.1685
2016-06-01,Fixed_DCA,475.0000,180.6911,2.6288,325.1582,40950.0000,58753.1796
2016-07-01,Fixed_DCA,475.0000,181.3284,2.6196,327.7777,41425.0000,59435.3975
2016-08-01,Fixed_DCA,475.0000,187.3923,2.5348,330.3125,41900.0000,61898.0100
2016-09-01,Fixed_DCA,475.0000,187.7810,2.5295,332.8420,42375.0000,62501.4234
2016-09-09,Extra_Purple,250.0000,184.2308,1.3570,334.1990,42625.0000,61569.7468
2016-10-01,Fixed_DCA,475.0000,187.7832,2.5295,336.7285,43100.0000,63231.9601
2016-11-01,Fixed_DCA,475.0000,183.1907,2.5929,339.3215,43575.0000,62160.5244
2016-12-01,Fixed_DCA,475.0000,190.6221,2.4918,341.8133,44050.0000,65157.1723
2017-01-01,Fixed_DCA,475.0000,195.2039,2.4334,344.2467,44525.0000,67198.2777
2017-02-01,Fixed_DCA,475.0000,198.7756,2.3896,346.6363,45000.0000,68902.8239
2017-03-01,Fixed_DCA,475.0000,209.3946,2.2684,348.9047,45475.0000,73058.7824
2017-04-01,Fixed_DCA,475.0000,206.7622,2.2973,351.2021,45950.0000,72615.3041
2017-05-01,Fixed_DCA,475.0000,209.3408,2.2690,353.4711,46425.0000,73995.9130
2017-06-01,Fixed_DCA,475.0000,213.4456,2.2254,355.6965,46900.0000,75921.8348
2017-07-01,Fixed_DCA,475.0000,213.1115,2.2289,357.9254,47375.0000,76278.0161
2017-08-01,Fixed_DCA,475.0000,217.9766,2.1791,360.1045,47850.0000,78494.3468
2017-09-01,Fixed_DCA,475.0000,218.4349,2.1746,362.2791,48325.0000,79134.3929
2017-10-01,Fixed_DCA,475.0000,222.5215,2.1346,364.4137,48800.0000,81089.8912
2017-11-01,Fixed_DCA,475.0000,228.0661,2.0827,366.4964,49275.0000,83585.4254
2017-12-01,Fixed_DCA,475.0000,234.2397,2.0278,368.5243,49750.0000,86322.9939
2018-01-01,Fixed_DCA,475.0000,237.5736,1.9994,370.5236,50225.0000,88026.6424
2018-02-01,Fixed_DCA,475.0000,250.6781,1.8949,372.4185,50700.0000,93357.1777
2018-02-05,Extra_Extreme_Dip+Extra_Pullback+Extra_Purple,725.0000,234.9651,3.0856,375.5041,51425.0000,88230.3612
2018-02-08,Extra_Extreme_Dip+Extra_Pullback,475.0000,229.3565,2.0710,377.5751,51900.0000,86599.3103
